timestamp,network_traffic,signal_strength
01-01-2024 00:00,229,-71
01-01-2024 01:00,269,-73
01-01-2024 02:00,412,-85
01-01-2024 03:00,288,-61
01-01-2024 04:00,482,-79
01-01-2024 05:00,243,-77
01-01-2024 06:00,453,-62
01-01-2024 07:00,414,-85
01-01-2024 08:00,330,-74
01-01-2024 09:00,201,-78
01-01-2024 10:00,289,-62
01-01-2024 11:00,375,-75
01-01-2024 12:00,317,-67
01-01-2024 13:00,481,-69
01-01-2024 14:00,270,-78
01-01-2024 15:00,355,-83
01-01-2024 16:00,435,-83
01-01-2024 17:00,351,-85
01-01-2024 18:00,264,-81
01-01-2024 19:00,426,-76
01-01-2024 20:00,373,-79
01-01-2024 21:00,309,-77
01-01-2024 22:00,316,-79
01-01-2024 23:00,218,-77
02-01-2024 00:00,236,-78
02-01-2024 01:00,307,-74
02-01-2024 02:00,444,-84
02-01-2024 03:00,313,-85
02-01-2024 04:00,203,-70
02-01-2024 05:00,210,-63
02-01-2024 06:00,386,-63
02-01-2024 07:00,335,-62
02-01-2024 08:00,336,-81
02-01-2024 09:00,427,-83
02-01-2024 10:00,237,-74
02-01-2024 11:00,249,-78
02-01-2024 12:00,259,-64
02-01-2024 13:00,469,-83
02-01-2024 14:00,356,-85
02-01-2024 15:00,286,-83
02-01-2024 16:00,337,-81
02-01-2024 17:00,417,-71
02-01-2024 18:00,307,-72
02-01-2024 19:00,398,-83
02-01-2024 20:00,476,-85
02-01-2024 21:00,462,-81
02-01-2024 22:00,350,-63
02-01-2024 23:00,272,-72
03-01-2024 00:00,492,-79
03-01-2024 01:00,418,-77
03-01-2024 02:00,447,-71
03-01-2024 03:00,329,-71
03-01-2024 04:00,441,-76
03-01-2024 05:00,470,-73
03-01-2024 06:00,246,-67
03-01-2024 07:00,313,-79
03-01-2024 08:00,445,-69
03-01-2024 09:00,314,-66
03-01-2024 10:00,265,-82
03-01-2024 11:00,245,-81
03-01-2024 12:00,264,-63
03-01-2024 13:00,467,-79
03-01-2024 14:00,476,-73
03-01-2024 15:00,458,-71
03-01-2024 16:00,487,-75
03-01-2024 17:00,318,-82
03-01-2024 18:00,258,-73
03-01-2024 19:00,284,-79
03-01-2024 20:00,262,-67
03-01-2024 21:00,239,-64
03-01-2024 22:00,408,-84
03-01-2024 23:00,440,-76
04-01-2024 00:00,218,-72
04-01-2024 01:00,497,-83
04-01-2024 02:00,376,-85
04-01-2024 03:00,368,-81
04-01-2024 04:00,225,-63
04-01-2024 05:00,260,-72
04-01-2024 06:00,270,-79
04-01-2024 07:00,244,-77
04-01-2024 08:00,442,-71
04-01-2024 09:00,309,-71
04-01-2024 10:00,234,-76
04-01-2024 11:00,306,-73
04-01-2024 12:00,217,-67
04-01-2024 13:00,482,-79
04-01-2024 14:00,266,-69
04-01-2024 15:00,278,-66
04-01-2024 16:00,426,-82
04-01-2024 17:00,279,-81
04-01-2024 18:00,415,-63
04-01-2024 19:00,214,-79
04-01-2024 20:00,363,-73
04-01-2024 21:00,312,-71
04-01-2024 22:00,264,-75
04-01-2024 23:00,377,-82
05-01-2024 00:00,445,-73
05-01-2024 01:00,338,-79
05-01-2024 02:00,408,-67
05-01-2024 03:00,289,-64
05-01-2024 04:00,344,-84
05-01-2024 05:00,226,-76
05-01-2024 06:00,294,-72
05-01-2024 07:00,310,-83
05-01-2024 08:00,226,-85
05-01-2024 09:00,315,-81
05-01-2024 10:00,283,-63
05-01-2024 11:00,359,-72
05-01-2024 12:00,300,-79
05-01-2024 13:00,409,-77
05-01-2024 14:00,280,-71
05-01-2024 15:00,436,-71
05-01-2024 16:00,272,-76
05-01-2024 17:00,430,-73
05-01-2024 18:00,237,-67
05-01-2024 19:00,400,-79
05-01-2024 20:00,206,-69
05-01-2024 21:00,486,-66
05-01-2024 22:00,383,-82
05-01-2024 23:00,472,-81
06-01-2024 00:00,200,-63
06-01-2024 01:00,312,-79
06-01-2024 02:00,294,-73
06-01-2024 03:00,297,-71
06-01-2024 04:00,290,-75
06-01-2024 05:00,329,-82
06-01-2024 06:00,311,-73
06-01-2024 07:00,388,-79
06-01-2024 08:00,373,-67
06-01-2024 09:00,391,-64
06-01-2024 10:00,247,-84
06-01-2024 11:00,278,-76
06-01-2024 12:00,213,-72
06-01-2024 13:00,442,-83
06-01-2024 14:00,310,-85
06-01-2024 15:00,250,-81
06-01-2024 16:00,305,-63
06-01-2024 17:00,246,-72
06-01-2024 18:00,277,-79
06-01-2024 19:00,432,-77
06-01-2024 20:00,499,-71
06-01-2024 21:00,257,-71
06-01-2024 22:00,219,-76
06-01-2024 23:00,407,-73
07-01-2024 00:00,308,-67
07-01-2024 01:00,251,-79
07-01-2024 02:00,386,-69
07-01-2024 03:00,405,-66
07-01-2024 04:00,226,-82
07-01-2024 05:00,231,-81
07-01-2024 06:00,246,-63
07-01-2024 07:00,285,-79
07-01-2024 08:00,493,-73
07-01-2024 09:00,426,-71
07-01-2024 10:00,460,-75
07-01-2024 11:00,454,-82
07-01-2024 12:00,204,-73
07-01-2024 13:00,415,-79
07-01-2024 14:00,397,-67
07-01-2024 15:00,470,-64
07-01-2024 16:00,498,-84
07-01-2024 17:00,462,-76
07-01-2024 18:00,314,-72
07-01-2024 19:00,211,-83
07-01-2024 20:00,325,-85
07-01-2024 21:00,368,-81
07-01-2024 22:00,343,-63
07-01-2024 23:00,338,-72
08-01-2024 00:00,384,-79
08-01-2024 01:00,341,-77
08-01-2024 02:00,270,-71
08-01-2024 03:00,466,-71
08-01-2024 04:00,220,-76
08-01-2024 05:00,492,-73
08-01-2024 06:00,371,-67
08-01-2024 07:00,286,-79
08-01-2024 08:00,334,-69
08-01-2024 09:00,315,-66
08-01-2024 10:00,495,-82
08-01-2024 11:00,243,-81
08-01-2024 12:00,405,-63
08-01-2024 13:00,346,-79
08-01-2024 14:00,411,-73
08-01-2024 15:00,308,-71
08-01-2024 16:00,295,-75
08-01-2024 17:00,394,-82
08-01-2024 18:00,249,-73
08-01-2024 19:00,208,-79
08-01-2024 20:00,442,-67
08-01-2024 21:00,259,-64
08-01-2024 22:00,270,-84
08-01-2024 23:00,414,-76
09-01-2024 00:00,431,-72
09-01-2024 01:00,320,-83
09-01-2024 02:00,384,-85
09-01-2024 03:00,416,-81
09-01-2024 04:00,438,-63
09-01-2024 05:00,312,-72
09-01-2024 06:00,319,-79
09-01-2024 07:00,424,-77
09-01-2024 08:00,483,-71
09-01-2024 09:00,304,-71
09-01-2024 10:00,256,-76
09-01-2024 11:00,308,-73
09-01-2024 12:00,248,-67
09-01-2024 13:00,477,-79
09-01-2024 14:00,222,-69
09-01-2024 15:00,405,-66
09-01-2024 16:00,282,-82
09-01-2024 17:00,293,-81
09-01-2024 18:00,433,-63
09-01-2024 19:00,448,-79
09-01-2024 20:00,237,-73
09-01-2024 21:00,219,-71
09-01-2024 22:00,439,-75
09-01-2024 23:00,319,-82
10-01-2024 00:00,335,-73
10-01-2024 01:00,209,-79
10-01-2024 02:00,435,-67
10-01-2024 03:00,374,-64
10-01-2024 04:00,400,-84
10-01-2024 05:00,362,-76
10-01-2024 06:00,297,-72
10-01-2024 07:00,215,-83
10-01-2024 08:00,436,-85
10-01-2024 09:00,304,-81
10-01-2024 10:00,266,-63
10-01-2024 11:00,449,-72
10-01-2024 12:00,289,-79
10-01-2024 13:00,400,-77
10-01-2024 14:00,345,-71
10-01-2024 15:00,416,-71
10-01-2024 16:00,264,-76
10-01-2024 17:00,379,-73
10-01-2024 18:00,344,-67
10-01-2024 19:00,292,-79
10-01-2024 20:00,358,-69
10-01-2024 21:00,341,-66
10-01-2024 22:00,438,-82
10-01-2024 23:00,406,-81
